canonical_name,alias,language
Aaron,Erin,en
Aaron,Ron,en
Aaron,Ronnie,en
Abbigail,Abbe,en
Abbigail,Abbey,en
Abbigail,Abbi,en
Abbigail,Abbie,en
Abbigail,Abby,en
Abbigail,Gail,en
Abbigail,Nabby,en
Abbigale,Abbe,en
Abbigale,Abbey,en
Abbigale,Abbi,en
Abbigale,Abbie,en
Abbigale,Abby,en
Abbigale,Gail,en
Abbigale,Nabby,en
Abednego,Bedney,en
Abel,Ab,en
Abel,Abe,en
Abel,Eb,en
Abel,Ebbie,en
Abiel,Ab,en
Abigail,Abbe,en
Abigail,Abbey,en
Abigail,Abbi,en
Abigail,Abbie,en
Abigail,Abby,en
Abigail,Gail,en
Abigail,Nabby,en
Abigale,Abbe,en
Abigale,Abbey,en
Abigale,Abbi,en
Abigale,Abbie,en
Abigale,Abby,en
Abigale,Gail,en
Abigale,Nabby,en
Abijah,Ab,en
Abijah,Bige,en
Abner,Ab,en
Abraham,Ab,en
Abraham,Abe,en
Abram,Ab,en
Abram,Abe,en
Absalom,Ab,en
Absalom,Abbie,en
Absalom,App,en
Ada,Addy,en
Ada,Adie,en
Adaline,Ada,en
Adaline,Addy,en
Adaline,Adie,en
Adaline,Delia,en
Adaline,Dell,en
Adaline,Lena,en
Addison,Addie,en
Addison,Addy,en
Adela,Adie,en
Adela,Della,en
Adelaide,Addy,en
Adelaide,Adele,en
Adelaide,Adie,en
Adelaide,Dell,en
Adelaide,Della,en
Adelaide,Heidi,en
Adelbert,Albert,en
Adelbert,Bert,en
Adelbert,Del,en
Adelbert,Delbert,en
Adele,Addy,en
Adele,Dell,en
Adeline,Ada,en
Adeline,Addy,en
Adeline,Delia,en
Adeline,Dell,en
Adeline,Lena,en
Adelphia,Addy,en
Adelphia,Adele,en
Adelphia,Dell,en
Adelphia,Delphia,en
Adelphia,Philly,en
Adena,Adina,en
Adena,Deena,en
Adena,Dena,en
Adena,Dina,en
Adolphus,Ado,en
Adolphus,Adolph,en
Adolphus,Dolph,en
Adrian,Rian,en
Adriane,Riane,en
Adrienne,Addie,en
Adrienne,Enne,en
Adrienne,Rienne,en
Agatha,Aga,en
Agatha,Aggy,en
Agnes,Aggy,en
Agnes,Inez,en
Agnes,Nessa,en
Aileen,Allie,en
Aileen,Lena,en
Alan,Al,en
Alanson,Al,en
Alanson,Lanson,en
Alastair,Al,en
Alazama,Ali,en
Albert,Al,en
Albert,Bert,en
Alberta,Allie,en
Alberta,Bert,en
Alberta,Bertie,en
Aldo,Al,en
Aldrich,Rich,en
Aldrich,Riche,en
Aldrich,Richie,en
Aleksandr,Alek,en
Aleksandr,Alex,en
Aleva,Leve,en
Aleva,Levy,en
Alex,Al,en
Alexander,Al,en
Alexander,Alec,en
Alexander,Alex,en
Alexander,Sandy,en
Alexandra,Alex,en
Alexandra,Alla,en
Alexandra,Sandra,en
Alexandra,Sandy,en
Alexandria,Alex,en
Alexandria,Alexander,en
Alexandria,Alla,en
Alexandria,Drina,en
Alexandria,Sandra,en
Alexis,Alex,en
Alexis,Lexi,en
Alfonse,Al,en
Alfred,Al,en
Alfred,Fred,en
Alfred,Freddy,en
Alfreda,Alfy,en
Alfreda,Freda,en
Alfreda,Freddy,en
Alfreda,Frieda,en
Algernon,Algy,en
Alice,Allie,en
Alice,Elsie,en
Alice,Lisa,en
Alicia,Allie,en
Alicia,Elsie,en
Alicia,Lisa,en
Aline,Adeline,en
Alison,Ali,en
Alison,Allie,en
Alixandra,Alix,en
Allan,Al,en
Allan,Alan,en
Allan,Allen,en
Allen,Al,en
Allen,Alan,en
Allen,Allan,en
Allisandra,Ali,en
Allisandra,Allie,en
Allisandra,Ally,en
Allison,Ali,en
Allison,Allie,en
Allison,Ally,en
Allyson,Ali,en
Allyson,Allie,en
Allyson,Ally,en
Allyssa,Ali,en
Allyssa,Allie,en
Allyssa,Ally,en
Almena,Ali,en
Almena,Allie,en
Almena,Ally,en
Almena,Mena,en
Almina,Minnie,en
Almira,Myra,en
Alonzo,Al,en
Alonzo,Lon,en
Alonzo,Lonzo,en
Alphinias,Alphus,en
Althea,Ally,en
Alverta,Vert,en
Alverta,Virdie,en
Alyssa,Al,en
Alyssa,Ally,en
Alyssa,Lissia,en
Alzada,Zada,en
Amanda,Manda,en
Amanda,Mandy,en
Ambrose,Brose,en
Amelia,Amy,en
Amelia,Emily,en
Amelia,Mel,en
Amelia,Millie,en
Amos,Moses,en
Anastasia,Ana,en
Anastasia,Stacy,en
Anderson,Andy,en
Andre,Drea,en
Andrea,Andi,en
Andrea,Andrew,en
Andrea,Andy,en
Andrea,Drea,en
Andrea,Rea,en
Andrew,Andy,en
Andrew,Drew,en
Andrew,Randy,en
Andriane,Ada,en
Andriane,Adri,en
Andriane,Rienne,en
Angela,Angel,en
Angela,Angie,en
Angelica,Angel,en
Angelica,Angelika,en
Angelica,Angelique,en
Angelica,Angie,en
Angelina,Angel,en
Angelina,Angie,en
Angelina,Lina,en
Ann,Annie,en
Ann,Nan,en
Anna,Ann,en
Anna,Anne,en
Anna,Annie,en
Anna,Nan,en
Anne,Ann,en
Anne,Annie,en
Anne,Nan,en
Annette,Anna,en
Annette,Nettie,en
Annie,Ann,en
Annie,Anna,en
Anselm,Ance,en
Anselm,Anse,en
Anselm,Ansel,en
