canonical_name,alias,language
Francisco,Paco,es
Francisco,Pancho,es
Francisco,Curro,es
Francisco,Fran,es
José,Pepe,es
José,Chepe,es
José,Pepito,es
Antonio,Toño,es
Antonio,Toni,es
Antonio,Anto,es
Juan,Juanito,es
Juan,Juancito,es
María,Mari,es
María,Marita,es
María,Mariquita,es
Carmen,Menchu,es
Concepción,Concha,es
Concepción,Conchita,es
Guadalupe,Lupe,es
Guadalupe,Lupita,es
Roberto,Beto,es
Roberto,Berto,es
Alberto,Beto,es
Alberto,Berto,es
Eduardo,Lalo,es
Eduardo,Edu,es
Ricardo,Richi,es
Ricardo,Riqui,es
Fernando,Fer,es
Fernando,Nando,es
Alejandro,Alex,es
Alejandro,Ale,es
Alejandro,Jandro,es
Rafael,Rafa,es
Manuel,Manolo,es
Manuel,Manu,es
Manuel,Lolo,es
Enrique,Quique,es
Enrique,Kike,es
Ignacio,Nacho,es
Jesús,Chuy,es
Jesús,Chus,es
Guillermo,Memo,es
Guillermo,Guille,es
Salvador,Chava,es
Salvador,Chavita,es
Alfonso,Poncho,es
Beatriz,Bea,es
Beatriz,Beti,es
Isabel,Isa,es
Isabel,Chabela,es
Dolores,Lola,es
Dolores,Loli,es
Mercedes,Merce,es
Mercedes,Merche,es
Rosario,Charo,es
Pilar,Pili,es
Esperanza,Espe,es
Remedios,Reme,es
Inmaculada,Inma,es
Ascensión,Ascen,es
García,Garcia,es
González,Gonzalez,es
Rodríguez,Rodriguez,es
Fernández,Fernandez,es
López,Lopez,es
Martínez,Martinez,es
Sánchez,Sanchez,es
Pérez,Perez,es
