canonical_name,alias,language
Mihály,Misi,hu
Mihály,Miska,hu
István,Pisti,hu
István,Pista,hu
István,Isti,hu
László,Laci,hu
László,Lacika,hu
Gábor,Gabi,hu
József,Jóska,hu
József,Józsi,hu
József,Joci,hu
Ferenc,Feri,hu
Zoltán,Zoli,hu
Attila,Ati,hu
Attila,Atti,hu
Katalin,Kati,hu
Katalin,Kató,hu
Erzsébet,Erzsi,hu
Erzsébet,Böske,hu
Péter,Peti,hu
Péter,Petya,hu
András,Bandi,hu
András,Endre,hu
György,Gyuri,hu
János,Jani,hu
János,Jancsi,hu
Imre,Imi,hu
Tamás,Tomi,hu
Balázs,Bazsi,hu
Csaba,Csabi,hu
Károly,Karcsi,hu
Sándor,Sanyi,hu
Sándor,Sancsi,hu
Mária,Mari,hu
Mária,Marika,hu
Anna,Ani,hu
Anna,Ancsa,hu
Julianna,Julcsi,hu
Eszter,Eszti,hu
Ágnes,Ági,hu
Gabriella,Gabi,hu
Veronika,Vera,hu
Veronika,Roni,hu
Ilona,Ili,hu
Ilona,Ilus,hu
Sarolta,Sári,hu
Edit,Edi,hu
Tibor,Tibi,hu
Lajos,Lali,hu
Vilmos,Vili,hu
Richárd,Ricsi,hu
Viktor,Viki,hu
Máté,Matyi,hu
Dániel,Dani,hu
Norbert,Norbi,hu
Roland,Roli,hu
Kristóf,Krityó,hu
Barnabás,Barni,hu
Levente,Levi,hu
Botond,Boti,hu
Márk,Markó,hu
Ádám,Ádi,hu
Gergely,Greg,hu
Renáta,Reni,hu
Zsuzsanna,Zsuzsi,hu
Anikó,Ani,hu
Ildikó,Ildi,hu
Hajnalka,Hajni,hu
Judit,Jutka,hu
Nóra,Nóri,hu
Timea,Timi,hu
Orsolya,Orsi,hu
Boglárka,Bogi,hu
Enikő,Eni,hu
Beáta,Bea,hu
Teréz,Teri,hu
Rozália,Rózi,hu
Sárközi,Sarkozi,hu
Sárközi,Sarkozy,hu
Nagy,Nagy,hu
Kovács,Kovacs,hu
Szabó,Szabo,hu
Tóth,Toth,hu
Horváth,Horvath,hu
Varga,Varga,hu
